"","z1","z2","z3","z4","z5","z6","z7","z8","z9","z10","z11","z12","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12"
"OTU6",218,173,216,366,410,461,150,519,493,287,272,247,25,43,85,23,30,75,67,42,43,49,27,30,830,613,411,1108,879,320,522,901,1271,1028,1821,974
"OTU7",49,27,26,66,67,129,20,20,20,21,22,16,716,211,399,479,670,1354,1010,327,341,388,307,330,1985,804,1971,2274,952,170,1066,632,679,529,732,363
"OTU4",189,155,196,93,99,91,75,96,78,294,149,166,1697,1279,384,1458,1144,325,316,1326,1593,813,816,510,302,430,239,160,233,385,189,667,589,1020,347,468
"OTU5",1,6,4,6,5,24,2,3,13,3,3,5,3,1,7,11,1,7,3,4,8,6,2,3,764,402,197,711,706,741,166,678,799,1182,2257,3153
"OTU2",991,594,1016,3165,3426,2425,368,693,1797,1022,318,596,109,127,364,95,294,611,423,106,101,91,135,233,867,371,396,1387,655,125,238,70,180,48,580,332
"OTU3",904,1727,1133,1264,2375,2361,1030,1287,2175,1952,1613,1470,132,232,238,140,125,230,296,269,163,213,174,422,238,143,108,121,500,354,184,123,143,273,213,291
"OTU604",3,3,0,1,0,0,1,0,0,0,2,0,1,0,1,5,2,0,3,1,3,4,7,2,0,0,0,0,0,0,0,0,0,1,0,0
"OTU1",3731,3832,2554,2505,3640,4331,536,2416,3587,2549,2421,2516,3198,1636,6171,2947,2386,4664,3348,3250,2647,2863,3002,1694,4349,1662,1758,5666,2183,727,2211,2298,3217,5300,7230,1921
"OTU762",9,16,5,4,1,1,0,0,1,1,3,1,6,3,1,7,4,0,2,1,1,7,25,2,0,1,17,2,0,2,9,0,2,3,1,1
"OTU491",2,2,4,2,3,4,2,3,2,10,4,5,5,16,14,2,8,7,7,12,9,9,2,8,1,7,6,0,4,7,5,0,5,8,2,5
"OTU844",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU490",12,13,8,3,2,2,5,7,1,5,12,5,8,7,4,14,10,2,2,12,14,25,29,6,4,8,12,4,0,3,9,14,4,5,2,2
"OTU845",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,2,1,0,2,4,2,0,0,0,0,0,1,0,0,0,0,0,0
"OTU606",4,1,2,7,13,14,1,0,0,1,1,0,3,1,0,3,4,10,22,0,1,0,0,2,2,3,8,1,3,0,3,3,0,0,0,0
"OTU307",9,8,8,4,8,26,63,25,22,14,7,11,4,7,11,4,4,3,4,5,3,3,2,35,4,9,7,2,13,34,11,10,7,7,13,17
"OTU306",10,11,27,9,12,12,14,10,11,23,14,17,29,17,8,47,21,10,15,19,16,10,17,20,1,6,5,1,9,5,1,0,4,10,2,1
"OTU305",2,2,18,22,17,21,37,18,22,38,6,15,34,24,12,27,25,12,8,13,18,10,4,21,15,25,35,1,16,19,7,17,2,5,2,10
"OTU304",32,10,27,25,0,0,6,0,11,8,7,1,31,6,3,54,25,6,20,6,4,0,0,9,8,15,14,32,23,6,3,10,0,0,2,3
"OTU268",10,3,65,30,14,16,10,7,5,19,16,14,16,17,14,5,32,12,8,19,16,3,5,15,4,11,2,11,1,11,0,3,4,1,1,7
"OTU302",0,0,0,1,0,0,0,0,0,0,0,0,9,19,42,8,16,15,19,22,16,8,11,18,0,4,2,1,4,1,1,2,3,0,7,7
"OTU301",5,0,8,9,3,8,4,5,6,14,7,21,16,20,18,16,48,16,7,25,24,12,9,14,5,12,1,4,6,9,0,3,6,13,9,9
"OTU300",9,10,13,25,13,15,37,78,52,17,18,16,12,22,37,17,21,14,16,26,36,21,13,24,14,30,14,23,33,27,24,35,23,47,41,55
"OTU264",2,3,2,6,3,4,28,74,15,4,5,12,3,4,5,4,3,3,2,2,2,3,2,6,2,0,6,0,3,4,6,4,1,4,4,6
"OTU265",0,1,0,2,0,2,0,0,1,1,0,0,1,6,6,0,4,2,20,4,1,0,0,77,6,4,6,7,5,4,15,2,3,4,9,6
"OTU266",1,0,1,0,2,1,1,2,1,0,6,2,66,90,56,28,55,26,21,66,64,42,33,62,1,5,2,1,0,5,4,5,1,6,0,4
"OTU267",14,19,30,25,19,41,100,33,25,25,19,30,31,44,46,34,52,56,25,30,38,27,42,51,68,41,39,37,46,82,26,43,78,69,38,40
"OTU260",28,40,71,31,21,14,36,38,31,61,53,42,60,38,15,78,34,6,8,32,25,24,55,21,1,32,23,3,8,24,32,36,5,12,8,15
"OTU261",14,20,24,11,12,11,14,9,16,25,31,18,25,49,20,14,44,20,23,54,55,29,16,21,19,29,18,23,19,18,22,19,28,24,16,18
"OTU262",25,39,27,6,3,6,10,10,5,6,37,21,78,24,7,83,28,15,13,40,46,112,89,10,4,9,34,1,8,5,23,19,5,9,2,3
"OTU116",36,33,73,164,200,58,8,21,69,228,52,160,47,64,49,56,75,49,51,50,46,46,27,74,57,61,66,71,28,14,75,51,134,129,30,20
"OTU117",30,59,63,27,11,40,85,68,57,76,71,79,34,40,30,26,25,17,15,52,64,40,38,32,57,83,94,102,107,363,183,170,186,291,215,363
"OTU114",30,24,58,35,27,39,129,108,59,66,48,41,174,209,111,85,147,62,83,186,171,112,52,142,6,16,14,3,12,16,23,21,7,21,3,22
"OTU115",1,2,0,0,4,2,1,0,0,2,3,1,5,5,2,4,8,5,3,9,7,9,3,0,36,112,55,60,59,105,115,146,119,150,41,60
"OTU112",4,47,9,11,5,0,3,25,12,17,27,12,3,28,11,2,9,8,9,13,17,23,24,4,7,23,13,6,15,48,300,11,7,3,30,157
